gamintojas;metai;kaina;rida;pavaros;kuras;kW
0;2014;16801.0;173000.0;1;0;225.0
0;2014;12900.0;248000.0;1;1;190.0
1;2017;18500.0;181000.0;1;0;206.0
2;2013;5500.0;136000.0;0;1;66.0
2;2012;9900.0;261011.0;1;1;150.0
1;2014;10200.0;300000.0;1;1;125.0
0;2017;12500.0;136000.0;1;3;185.0
3;2012;14800.0;327109.0;1;1;1800.0
2;2015;15350.0;180000.0;1;1;140.0
2;2016;15800.0;247200.0;1;1;140.0
4;2017;24500.0;245220.0;1;1;132.0
5;2018;25500.0;205888.0;1;1;173.0
6;2017;28000.0;200000.0;1;0;245.0
2;2019;43499.0;254000.0;1;4;210.0
0;2004;1950.0;310253.0;0;0;125.0
3;2006;2100.0;274000.0;0;1;103.0
3;2012;2250.0;382502.0;0;1;77.0
0;2002;2550.0;323000.0;0;1;110.0
7;2010;4400.0;287000.0;1;5;110.0
8;2009;5600.0;193000.0;1;1;110.0
9;2011;8100.0;307200.0;1;1;180.0
3;2015;9950.0;256500.0;1;1;110.0
0;2013;10900.0;306000.0;0;1;105.0
3;2014;11000.0;215980.0;1;1;103.0
3;2019;12000.0;214408.0;1;0;110.0
10;2010;12250.0;270000.0;1;1;202.0
3;2019;13300.0;149987.0;1;1;110.0
0;2015;13900.0;232392.0;1;1;190.0
3;2018;14000.0;130000.0;1;0;162.0
3;2019;14550.0;141302.0;1;1;110.0
3;2020;15150.0;151386.0;1;1;110.0
3;2020;17950.0;41661.0;1;2;100.0
3;2020;18800.0;22017.0;1;2;100.0
3;2020;19000.0;36360.0;1;2;100.0
8;2019;19000.0;105000.0;0;1;90.0
3;2024;19602.0;180.0;0;1;85.0
3;2020;19900.0;122020.0;1;1;135.0
3;2020;20500.0;145005.0;1;1;135.0
5;2016;22800.0;184439.0;1;1;140.0
6;2013;22800.0;136594.0;1;0;225.0
3;2019;23050.0;135630.0;1;1;140.0
3;2020;26900.0;144387.0;1;1;110.0
11;2018;27200.0;100000.0;1;0;206.0
3;2020;27900.0;149034.0;1;0;140.0
6;2013;27999.0;138000.0;1;0;390.0
3;2020;28500.0;146442.0;1;1;140.0
2;2017;31500.0;119011.0;1;1;200.0
2;2021;36800.0;77200.0;1;2;230.0
0;2018;39500.0;130000.0;1;1;190.0
0;2021;75000.0;54000.0;1;0;390.0
12;2006;1100.0;250400.0;1;0;110.0
1;2007;1600.0;340000.0;0;0;110.0
3;2001;1650.0;235000.0;0;0;55.0
6;1999;1750.0;267194.0;0;0;125.0
8;2008;1750.0;343155.0;0;1;93.0
13;2006;1999.0;308000.0;0;1;103.0
12;2006;2150.0;265000.0;1;1;110.0
3;2005;2450.0;286545.0;0;1;128.0
8;2008;2450.0;286566.0;1;0;64.0
3;2009;2500.0;295858.0;1;1;85.0
3;2006;2650.0;267258.0;1;1;103.0
3;2006;2850.0;296546.0;1;1;165.0
3;2007;2850.0;286555.0;1;1;103.0
5;2005;2900.0;312485.0;0;1;120.0
3;2008;3100.0;267407.0;0;1;77.0
0;2005;3100.0;230000.0;1;0;110.0
0;2007;3250.0;325000.0;0;1;120.0
14;2007;3450.0;240646.0;0;1;100.0
6;2001;3450.0;310584.0;0;1;120.0
3;2005;3500.0;286544.0;1;1;165.0
0;2006;3500.0;284564.0;1;1;120.0
8;2006;3550.0;283000.0;0;1;100.0
3;2008;3750.0;231855.0;0;1;77.0
3;2008;3900.0;259658.0;1;1;85.0
0;2008;3900.0;284846.0;1;1;105.0
6;2008;3900.0;375026.0;1;1;125.0
3;2006;4000.0;288654.0;1;1;165.0
