;gamintojas;metai;kaina;rida;pavaros;kuras;variklis
0;BMW 535 Gran Turismo;2014;16 801 €;173 000 km;Automatinė;Benzinas;3.0 l., 225kW
1;BMW 530;2014;12 900 €;248 000 km;Automatinė;Dyzelinas;3.0 l., 190kW
2;Skoda Superb;2017;18 500 €;181 000 km;Automatinė;Benzinas;2.0 l., 206kW
3;Volkswagen Eos;2007;2 950 €;Nenurodyta;Mechaninė;Dyzelinas;2.0 l., 103kW
4;Audi A1;2013;5 500 €;136 000 km;Mechaninė;Dyzelinas;1.6 l., 66kW
5;Audi A6;2012;9 900 €;261 011 km;Automatinė;Dyzelinas;3.0 l., 150kW
6;Skoda Superb;2014;10 200 €;300 000 km;Automatinė;Dyzelinas;2.0 l., 125kW
7;BMW 330;2017;12 500 €;136 000 km;Automatinė;Benzinas / elektra;2.0 l., 185kW
8;Volkswagen Touareg;2012;14 800 €;327 109 km;Automatinė;Dyzelinas;3.0 l., 1800kW
9;Audi A6;2015;15 350 €;180 000 km;Automatinė;Dyzelinas;2.0 l., 140kW
10;Audi A4;2016;15 800 €;247 200 km;Automatinė;Dyzelinas;2.0 l., 140kW
11;Peugeot Traveller;2017;24 500 €;245 220 km;Automatinė;Dyzelinas;2.0 l., 132kW
12;Volvo V90;2018;25 500 €;205 888 km;Automatinė;Dyzelinas;2.0 l., 173kW
13;Mercedes-Benz C400;2017;28 000 €;200 000 km;Automatinė;Benzinas;3.0 l., 245kW
14;Audi Q8;2019;43 499 €;254 000 km;Automatinė;Dyzelinas / elektra;3.0 l., 210kW
15;Opel Astra;2005;1 100 €;Nenurodyta;Mechaninė;Dyzelinas;1.7 l., 59kW
16;BMW 520;2004;1 950 €;310 253 km;Mechaninė;Benzinas;2.2 l., 125kW
17;Volkswagen Passat;2006;2 100 €;274 000 km;Mechaninė;Dyzelinas;2.0 l., 103kW
18;Volkswagen Golf;2012;2 250 €;382 502 km;Mechaninė;Dyzelinas;1.6 l., 77kW
19;BMW 320;2002;2 550 €;323 000 km;Mechaninė;Dyzelinas;2.0 l., 110kW
20;Renault Clio;2018;3 000 €;Nenurodyta;Mechaninė;Benzinas;0.9 l., 66kW
21;BMW X5;2010;3 700 €;Nenurodyta;Automatinė;Dyzelinas;3.0 l., 173kW
22;Subaru Legacy;2010;4 400 €;287 000 km;Automatinė;Benzinas / dujos;2.0 l., 110kW
23;BMW 320;2007;4 800 €;299 767 km;Automatinė;Dyzelinas;Nenurodyta
24;Volkswagen Golf;2012;5 500 €;265 588 km;Mechaninė;Dyzelinas;Nenurodyta
25;Toyota Avensis;2009;5 600 €;193 000 km;Automatinė;Dyzelinas;2.2 l., 110kW
26;BMW 530;2009;6 300 €;Nenurodyta;Automatinė;Dyzelinas;3.0 l., 173kW
27;Land Rover Range Rover Sport;2011;8 100 €;307 200 km;Automatinė;Dyzelinas;3.0 l., 180kW
28;Volkswagen Passat;2015;9 950 €;256 500 km;Automatinė;Dyzelinas;2.0 l., 110kW
29;BMW 318 Gran Turismo;2013;10 900 €;306 000 km;Mechaninė;Dyzelinas;2.0 l., 105kW
30;Volkswagen Sharan;2014;11 000 €;215 980 km;Automatinė;Dyzelinas;2.0 l., 103kW
31;Volkswagen Passat;2019;12 000 €;214 408 km;Automatinė;Benzinas;1.5 l., 110kW
32;Jaguar XJ;2010;12 250 €;270 000 km;Automatinė;Dyzelinas;3.0 l., 202kW
33;Volkswagen Golf;2019;13 300 €;149 987 km;Automatinė;Dyzelinas;2.0 l., 110kW
34;BMW 530;2015;13 900 €;232 392 km;Automatinė;Dyzelinas;3.0 l., 190kW
35;Volkswagen Golf;2018;14 000 €;130 000 km;Automatinė;Benzinas;2.0 l., 162kW
36;Volkswagen Golf;2019;14 550 €;141 302 km;Automatinė;Dyzelinas;2.0 l., 110kW
37;Volkswagen Golf;2020;15 150 €;151 386 km;Automatinė;Dyzelinas;2.0 l., 110kW
38;Volkswagen Golf;2020;17 950 €;41 661 km;Automatinė;Elektra;100kW
39;Volkswagen Golf;2020;18 800 €;22 017 km;Automatinė;Elektra;100kW
40;Volkswagen Golf;2020;19 000 €;36 360 km;Automatinė;Elektra;100kW
41;Toyota Proace;2019;19 000 €;105 000 km;Mechaninė;Dyzelinas;2.0 l., 90kW
42;Volkswagen Golf;2024;19 602 €;180 km;Mechaninė;Dyzelinas;2.0 l., 85kW
43;Volkswagen Golf;2020;19 900 €;122 020 km;Automatinė;Dyzelinas;2.0 l., 135kW
44;Volkswagen Golf Alltrack;2020;20 500 €;145 005 km;Automatinė;Dyzelinas;2.0 l., 135kW
45;Volvo S90;2016;22 800 €;184 439 km;Automatinė;Dyzelinas;2.0 l., 140kW
46;Mercedes-Benz ML350;2013;22 800 €;136 594 km;Automatinė;Benzinas;3.5 l., 225kW
47;Volkswagen Passat Alltrack;2019;23 050 €;135 630 km;Automatinė;Dyzelinas;2.0 l., 140kW
48;Volkswagen Tiguan Allspace;2020;26 900 €;144 387 km;Automatinė;Dyzelinas;2.0 l., 110kW
49;Alfa Romeo Giulia;2018;27 200 €;100 000 km;Automatinė;Benzinas;2.0 l., 206kW
50;Volkswagen Tiguan Allspace;2020;27 900 €;149 034 km;Automatinė;Benzinas;2.0 l., 140kW
51;Mercedes-Benz C63 AMG;2013;27 999 €;138 000 km;Automatinė;Benzinas;6.2 l., 390kW
52;Volkswagen Tiguan Allspace;2020;28 500 €;146 442 km;Automatinė;Dyzelinas;2.0 l., 140kW
53;Audi Q7;2017;31 500 €;119 011 km;Automatinė;Dyzelinas;3.0 l., 200kW
54;Audi e-tron;2021;36 800 €;77 200 km;Automatinė;Elektra;230kW
55;BMW X5;2018;39 500 €;130 000 km;Automatinė;Dyzelinas;3.0 l., 190kW
56;BMW X5;2021;75 000 €;54 000 km;Automatinė;Benzinas;4.4 l., 390kW
57;Skoda Octavia;2004;990 €;Universalas;367 600 km;Dyzelinas;Nenurodyta
58;Opel Zafira;2006;1 100 €;250 400 km;Automatinė;Benzinas;2.2 l., 110kW
59;Skoda Octavia;2007;1 600 €;340 000 km;Mechaninė;Benzinas;2.0 l., 110kW
60;Volkswagen Golf;2001;1 650 €;235 000 km;Mechaninė;Benzinas;1.4 l., 55kW
61;Mercedes-Benz E240;1999;1 750 €;267 194 km;Mechaninė;Benzinas;2.4 l., 125kW
62;Toyota Avensis;2008;1 750 €;343 155 km;Mechaninė;Dyzelinas;2.0 l., 93kW
63;Volkswagen Golf;2007;1 850 €;29 655 km;Mechaninė;Dyzelinas;Nenurodyta
64;Seat Alhambra;2003;1 850 €;260 646 km;Mechaninė;Dyzelinas;Nenurodyta
65;Honda Civic;2006;1 999 €;308 000 km;Mechaninė;Dyzelinas;2.2 l., 103kW
66;Opel Signum;2006;2 150 €;265 000 km;Automatinė;Dyzelinas;1.9 l., 110kW
67;Volkswagen Touareg;2005;2 450 €;286 545 km;Mechaninė;Dyzelinas;2.5 l., 128kW
68;Toyota Yaris;2008;2 450 €;286 566 km;Automatinė;Benzinas;1.3 l., 64kW
69;Mitsubishi Pajero;1999;2 450 €;284 646 km;Mechaninė;Dyzelinas;Nenurodyta
70;BMW 320;2007;2 500 €;286 554 km;Mechaninė;Dyzelinas;Nenurodyta
71;Volkswagen Sharan;2009;2 500 €;295 858 km;Automatinė;Dyzelinas;1.9 l., 85kW
72;Volkswagen Passat;2006;2 650 €;267 258 km;Automatinė;Dyzelinas;2.0 l., 103kW
73;Volkswagen Touareg;2006;2 850 €;296 546 km;Automatinė;Dyzelinas;3.0 l., 165kW
74;Volkswagen Passat;2007;2 850 €;286 555 km;Automatinė;Dyzelinas;2.0 l., 103kW
75;Volvo XC90;2005;2 900 €;312 485 km;Mechaninė;Dyzelinas;2.4 l., 120kW
76;Toyota Corolla;2007;3 000 €;284 664 km;Automatinė;Benzinas;Nenurodyta
77;Volkswagen Golf;2008;3 100 €;267 407 km;Mechaninė;Dyzelinas;1.9 l., 77kW
78;BMW 320;2005;3 100 €;230 000 km;Automatinė;Benzinas;2.0 l., 110kW
79;BMW 520;2007;3 250 €;325 000 km;Mechaninė;Dyzelinas;2.0 l., 120kW
80;Volkswagen Passat;2010;3 450 €;286 545 km;Mechaninė;Dyzelinas;Nenurodyta
81;Renault Trafic;2005;3 450 €;312 548 km;Mechaninė;Dyzelinas;Nenurodyta
82;Peugeot 308;2008;3 450 €;220 459 km;Mechaninė;Dyzelinas;Nenurodyta
83;Nissan X-Trail;2007;3 450 €;240 646 km;Mechaninė;Dyzelinas;2.2 l., 100kW
84;Mercedes-Benz ML270;2001;3 450 €;310 584 km;Mechaninė;Dyzelinas;2.7 l., 120kW
85;Audi A3;2007;3 450 €;284 849 km;Automatinė;Dyzelinas;Nenurodyta
86;Volkswagen Touareg;2005;3 500 €;286 544 km;Automatinė;Dyzelinas;3.0 l., 165kW
87;Volkswagen Golf;2010;3 500 €;296 558 km;Mechaninė;Dyzelinas;Nenurodyta
88;Jeep Grand Cherokee;2005;3 500 €;284 664 km;Automatinė;Dyzelinas;Nenurodyta
89;BMW 320;2008;3 500 €;248 646 km;Mechaninė;Dyzelinas;Nenurodyta
90;BMW 320;2006;3 500 €;284 564 km;Automatinė;Dyzelinas;2.0 l., 120kW
91;Toyota RAV4;2006;3 550 €;283 000 km;Mechaninė;Dyzelinas;2.2 l., 100kW
92;Volkswagen Golf;2008;3 750 €;231 855 km;Mechaninė;Dyzelinas;1.9 l., 77kW
93;Volkswagen Sharan;2008;3 900 €;259 658 km;Automatinė;Dyzelinas;1.9 l., 85kW
94;Hyundai i40;2013;3 900 €;294 646 km;Mechaninė;Dyzelinas;Nenurodyta
95;BMW 118;2008;3 900 €;284 846 km;Automatinė;Dyzelinas;2.0 l., 105kW
96;Mercedes-Benz E220;2008;3 900 €;375 026 km;Automatinė;Dyzelinas;2.2 l., 125kW
97;Volkswagen Touareg;2006;4 000 €;288 654 km;Automatinė;Dyzelinas;3.0 l., 165kW
98;BMW 535;2009;4 150 €;455 691 km;Automatinė;Dyzelinas;3.0 l., 210kW
99;Suzuki Grand Vitara;2008;4 400 €;284 946 km;Mechaninė;Dyzelinas;1.9 l., 95kW
100;Volkswagen Passat;2016;4 425 €;140 000 km;Automatinė;Benzinas;1.8 l., 125kW
101;Toyota Corolla;2008;4 500 €;26 584 km;Automatinė;Benzinas;1.6 l., 91kW
102;BMW 320;2008;4 500 €;294 956 km;Automatinė;Dyzelinas;Nenurodyta
103;BMW 330;2007;4 500 €;296 555 km;Mechaninė;Dyzelinas;3.0 l., 170kW
104;Mercedes-Benz E350;2011;4 500 €;245 344 km;Automatinė;Dyzelinas;3.0 l., 170kW
105;Toyota Prius;2008;4 500 €;190 000 km;Automatinė;Benzinas / elektra;1.5 l., 57kW
106;Land Rover Freelander;2007;4 900 €;278 000 km;Automatinė;Dyzelinas;2.2 l., 118kW
107;Volvo XC90;2005;4 900 €;286 545 km;Automatinė;Dyzelinas;2.4 l., 120kW
108;Renault Trafic;2008;4 900 €;312 584 km;Mechaninė;Dyzelinas;Nenurodyta
109;Kia Sorento;2008;4 900 €;202 489 km;Automatinė;Dyzelinas;2.5 l., 125kW
110;Nissan Qashqai;2008;5 500 €;210 848 km;Automatinė;Dyzelinas;2.0 l., 110kW
111;Volvo V60;2012;5 750 €;312 000 km;Automatinė;Dyzelinas;2.0 l., 120kW
112;Nissan e-NV200;2017;5 800 €;65 700 km;Automatinė;Elektra, 24 kWh;80kW
113;Hyundai i40;2014;5 900 €;296 467 km;Mechaninė;Dyzelinas;Nenurodyta
